,회사명,업종
506,에코플라스틱,자동차 신품 부품 제조업
507,에프알텍,통신 및 방송 장비 제조업
508,에프에스티,전자부품 제조업
509,에프엔에스테크,특수 목적용 기계 제조업
510,엑세스바이오,의료용품 및 기타 의약 관련제품 제조업
511,엑시콘,특수 목적용 기계 제조업
512,엔바이오니아,그외 기타 제품 제조업
513,엔브이에이치코리아,자동차 신품 부품 제조업
514,엔시스,기타 전기장비 제조업
515,엔시트론,반도체 제조업
516,엔에스,특수 목적용 기계 제조업
517,엔에프씨,기타 화학제품 제조업
518,엔켐,기초 화학물질 제조업
519,엔투텍,특수 목적용 기계 제조업
520,엔피디,전자부품 제조업
521,엔피케이,합성고무 및 플라스틱 물질 제조업
522,엘디티,반도체 제조업
523,엘비루셈,반도체 제조업
524,엘아이에스,특수 목적용 기계 제조업
525,엘앤케이바이오,의료용 기기 제조업
526,엘엠에스,전자부품 제조업
527,엘오티베큠,특수 목적용 기계 제조업
528,엘컴텍,전자부품 제조업
529,엘티씨,기초 화학물질 제조업
530,엠아이텍,의료용 기기 제조업
531,엠에스씨,기타 식품 제조업
532,엠에스오토텍,자동차 신품 부품 제조업
533,엠에프엠코리아,편조의복 제조업
534,엠케이전자,전자부품 제조업
535,엠투아이,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
536,엠투엔,기타 금속 가공제품 제조업
537,엠플러스,특수 목적용 기계 제조업
538,연우,플라스틱제품 제조업
539,연이비앤티,전자부품 제조업
540,영신금속,기타 금속 가공제품 제조업
541,영우디에스피,특수 목적용 기계 제조업
542,영창케미칼,기타 화학제품 제조업
543,영화테크,자동차 신품 부품 제조업
544,예선테크,플라스틱제품 제조업
545,예스티,특수 목적용 기계 제조업
546,오공,기타 화학제품 제조업
547,오디텍,반도체 제조업
548,오로스테크놀로지,특수 목적용 기계 제조업
549,오리엔탈정공,일반 목적용 기계 제조업
550,오리엔트정공,자동차 신품 부품 제조업
551,오성첨단소재,플라스틱제품 제조업
552,오션브릿지,특수 목적용 기계 제조업
553,오스테오닉,의료용 기기 제조업
554,오스템,자동차 신품 부품 제조업
555,오킨스전자,전자부품 제조업
556,오텍,자동차 재제조 부품 제조업
557,올리패스,기초 의약물질 및 생물학적 제제 제조업
558,옴니시스템,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
559,옵투스제약,의약품 제조업
560,옵트론텍,사진장비 및 광학기기 제조업
561,옵티시스,통신 및 방송 장비 제조업
562,옵티팜,의료용품 및 기타 의약 관련제품 제조업
563,와이아이케이,특수 목적용 기계 제조업
564,와이엠씨,전자부품 제조업
565,와이엠텍,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
566,와이엠티,기초 화학물질 제조업
567,와이제이엠게임즈,전자부품 제조업
568,와이지-원,기타 금속 가공제품 제조업
569,와이팜,전자부품 제조업
570,와토스코리아,플라스틱제품 제조업
571,우리기술,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
572,우리넷,통신 및 방송 장비 제조업
573,우리바이오,전구 및 조명장치 제조업
574,우리산업,자동차 신품 부품 제조업
575,우리산업홀딩스,자동차 신품 부품 제조업
576,우리이앤엘,반도체 제조업
577,우림피티에스,일반 목적용 기계 제조업
578,우수AMS,자동차 신품 부품 제조업
579,우주일렉트로,전자부품 제조업
580,우진비앤지,의약품 제조업
581,원바이오젠,의료용품 및 기타 의약 관련제품 제조업
582,원방테크,일반 목적용 기계 제조업
583,원익QNC,유리 및 유리제품 제조업
584,원익피앤이,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
585,원일특강,1차 철강 제조업
586,원준,특수 목적용 기계 제조업
587,원텍,의료용 기기 제조업
588,원풍,플라스틱제품 제조업
589,원풍물산,봉제의복 제조업
590,월덱스,전자부품 제조업
591,웨이브일렉트로,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
592,웰크론,직물직조 및 직물제품 제조업
593,웹스,합성고무 및 플라스틱 물질 제조업
594,위니아,가정용 기기 제조업
595,위더스제약,의약품 제조업
596,위드텍,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외"
597,위지트,특수 목적용 기계 제조업
598,윈텍,특수 목적용 기계 제조업
599,윈팩,반도체 제조업
600,윈하이텍,"구조용 금속제품, 탱크 및 증기발생기 제조업"
601,윌링스,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
602,유네코,특수 목적용 기계 제조업
