,회사명,업종
446,이루온,소프트웨어 개발 및 공급업
447,이베스트스팩5호,금융 지원 서비스업
448,이삭엔지니어링,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
449,이상네트웍스,상품 중개업
450,이스트소프트,소프트웨어 개발 및 공급업
451,이스트아시아홀딩스,기타 금융업
452,이씨에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
453,이엔코퍼레이션,기타 정보 서비스업
454,이엠넷,광고업
455,이지케어텍,소프트웨어 개발 및 공급업
456,이크레더블,기타 정보 서비스업
457,이트론,기타 전문 도매업
458,이퓨쳐,"서적, 잡지 및 기타 인쇄물 출판업"
459,이화공영,건물 건설업
460,인성정보,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
461,인카금융서비스,보험 및 연금관련 서비스업
462,인포바인,전기 통신업
463,인포뱅크,기타 정보 서비스업
464,인피니트헬스케어,소프트웨어 개발 및 공급업
465,인화정공,선박 및 보트 건조업
466,일승,선박 및 보트 건조업
467,일진파워,전기 및 통신 공사업
468,자연과환경,환경 정화 및 복원업
469,자이언트스텝,"영화, 비디오물, 방송프로그램 제작 및 배급업"
470,정다운,"도축, 육류 가공 및 저장 처리업"
471,정상제이엘에스,일반 교습 학원
472,정원엔시스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
473,제넨바이오,생활용품 도매업
474,제로투세븐,생활용품 도매업
475,제이씨현시스템,기계장비 및 관련 물품 도매업
476,제이엘케이,소프트웨어 개발 및 공급업
477,제이엠아이,기록매체 복제업
478,제이웨이,"영화, 비디오물, 방송프로그램 제작 및 배급업"
479,젬백스링크,"섬유, 의복, 신발 및 가죽제품 소매업"
480,조이시티,소프트웨어 개발 및 공급업
481,줌인터넷,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
482,중앙에너비스,기타 전문 도매업
483,지니너스,자연과학 및 공학 연구개발업
484,지니언스,소프트웨어 개발 및 공급업
485,지더블유바이텍,기계장비 및 관련 물품 도매업
486,지란지교시큐리티,소프트웨어 개발 및 공급업
487,지씨셀,"그외 기타 전문, 과학 및 기술 서비스업"
488,지어소프트,소프트웨어 개발 및 공급업
489,지엔원에너지,"건축기술, 엔지니어링 및 관련 기술 서비스업"
490,지엘팜텍,자연과학 및 공학 연구개발업
491,진매트릭스,자연과학 및 공학 연구개발업
492,진바이오텍,산업용 농·축산물 및 동·식물 도매업
493,차백신연구소,자연과학 및 공학 연구개발업
494,참좋은여행,여행사 및 기타 여행보조 서비스업
495,청담글로벌,생활용품 도매업
496,체리부로,"도축, 육류 가공 및 저장 처리업"
497,초록뱀미디어,"영화, 비디오물, 방송프로그램 제작 및 배급업"
498,초록뱀컴퍼니,상품 종합 도매업
499,카스,기계장비 및 관련 물품 도매업
500,카이노스메드,자연과학 및 공학 연구개발업
501,카카오게임즈,소프트웨어 개발 및 공급업
502,캐리소프트,"영화, 비디오물, 방송프로그램 제작 및 배급업"
503,커머스마이너,소프트웨어 개발 및 공급업
504,컬러레이,기타 금융업
505,컴투스홀딩스,소프트웨어 개발 및 공급업
506,컴퍼니케이,기타 금융업
507,케어랩스,광고업
508,케이비제20호스팩,금융 지원 서비스업
509,케이비제21호스팩,금융 지원 서비스업
510,케이사인,소프트웨어 개발 및 공급업
511,케이씨에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
512,케이씨티,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
513,케이아이엔엑스,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
514,케이엘넷,전기 통신업
515,케이옥션,상품 중개업
516,케이프,선박 및 보트 건조업
517,케이프이에스제4호,기타 금융업
518,켐온,자연과학 및 공학 연구개발업
519,코나아이,소프트웨어 개발 및 공급업
520,코난테크놀로지,소프트웨어 개발 및 공급업
521,코닉오토메이션,소프트웨어 개발 및 공급업
522,코드네이처,전기 및 통신 공사업
523,코원플레이,소프트웨어 개발 및 공급업
524,코퍼스코리아,"영화, 비디오물, 방송프로그램 제작 및 배급업"
525,쿠콘,소프트웨어 개발 및 공급업
526,큐라클,자연과학 및 공학 연구개발업
527,큐렉소,기타 상품 전문 소매업
528,큐로컴,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
529,큐로홀딩스,음·식료품 및 담배 소매업
530,큐리언트,자연과학 및 공학 연구개발업
531,큐브엔터,오디오물 출판 및 원판 녹음업
532,크레버스,일반 교습 학원
533,크리스탈신소재,기타 금융업
534,키네마스터,소프트웨어 개발 및 공급업
535,키움제6호스팩,금융 지원 서비스업
536,키이스트,"영화, 비디오물, 방송프로그램 제작 및 배급업"
537,태웅로직스,기타 운송관련 서비스업
538,테라셈,기계장비 및 관련 물품 도매업
539,토박스코리아,"섬유, 의복, 신발 및 가죽제품 소매업"
540,토탈소프트,소프트웨어 개발 및 공급업
541,투비소프트,소프트웨어 개발 및 공급업
542,툴젠,자연과학 및 공학 연구개발업
543,트윔,소프트웨어 개발 및 공급업
544,특수건설,토목 건설업
545,티라유텍,소프트웨어 개발 및 공급업
546,티비씨,텔레비전 방송업
547,티사이언티픽,소프트웨어 개발 및 공급업
548,티움바이오,자연과학 및 공학 연구개발업
549,파수,소프트웨어 개발 및 공급업
550,판타지오,창작 및 예술관련 서비스업
551,팬엔터테인먼트,"영화, 비디오물, 방송프로그램 제작 및 배급업"
552,포바이포,"영화, 비디오물, 방송프로그램 제작 및 배급업"
553,포시에스,소프트웨어 개발 및 공급업
554,폴라리스오피스,소프트웨어 개발 및 공급업
555,푸드나무,무점포 소매업
556,푸드웰,"과실, 채소 가공 및 저장 처리업"
557,푸른저축은행,은행 및 저축기관
558,플래스크,실내건축 및 건축마무리 공사업
559,플래티어,소프트웨어 개발 및 공급업
560,플랜티넷,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
561,플레이디,광고업
562,플레이위드,소프트웨어 개발 및 공급업
563,플리토,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
564,피씨디렉트,기계장비 및 관련 물품 도매업
565,피에이치씨,"섬유, 의복, 신발 및 가죽제품 소매업"
566,피엔케이피부임상연구센타,"그외 기타 전문, 과학 및 기술 서비스업"
567,핑거,소프트웨어 개발 및 공급업
568,하나금융14호스팩,금융 지원 서비스업
569,하나금융15호스팩,금융 지원 서비스업
570,하나금융16호스팩,금융 지원 서비스업
571,하나금융19호스팩,금융 지원 서비스업
572,하나금융20호스팩,금융 지원 서비스업
573,하나금융21호스팩,금융 지원 서비스업
574,하나금융22호스팩,금융 지원 서비스업
575,하나머스트7호스팩,금융 지원 서비스업
576,하이제6호스팩,금융 지원 서비스업
577,하이제7호스팩,금융 지원 서비스업
578,한국가구,생활용품 도매업
579,한국경제TV,텔레비전 방송업
